Gender	Age	White	Black	Asian	Latino
Male	18	0.0050	0.0014	0.0005	0.0021
Male	19	0.0050	0.0014	0.0006	0.0021
Male	20	0.0050	0.0014	0.0006	0.0021
Male	21	0.0051	0.0014	0.0006	0.0021
Male	22	0.0052	0.0014	0.0006	0.0021
Male	23	0.0053	0.0015	0.0007	0.0021
Male	24	0.0053	0.0015	0.0007	0.0021
Male	25	0.0055	0.0015	0.0007	0.0022
Male	26	0.0056	0.0015	0.0007	0.0021
Male	27	0.0056	0.0015	0.0007	0.0021
Male	28	0.0054	0.0014	0.0007	0.0020
Male	29	0.0053	0.0013	0.0007	0.0020
Male	30	0.0052	0.0012	0.0007	0.0020
Male	31	0.0052	0.0012	0.0007	0.0020
Male	32	0.0053	0.0012	0.0007	0.0020
Male	33	0.0051	0.0011	0.0007	0.0019
Male	34	0.0052	0.0011	0.0007	0.0020
Male	35	0.0051	0.0011	0.0007	0.0020
Male	36	0.0051	0.0011	0.0006	0.0019
Male	37	0.0052	0.0012	0.0006	0.0020
Male	38	0.0049	0.0011	0.0006	0.0018
Male	39	0.0048	0.0010	0.0006	0.0018
Male	40	0.0047	0.0010	0.0006	0.0018
Male	41	0.0045	0.0010	0.0006	0.0017
Male	42	0.0047	0.0010	0.0006	0.0017
Male	43	0.0046	0.0010	0.0006	0.0017
Male	44	0.0047	0.0010	0.0006	0.0016
Male	45	0.0050	0.0010	0.0006	0.0016
Male	46	0.0054	0.0011	0.0006	0.0016
Male	47	0.0055	0.0011	0.0006	0.0016
Male	48	0.0053	0.0010	0.0005	0.0015
Male	49	0.0052	0.0010	0.0005	0.0014
Male	50	0.0052	0.0010	0.0005	0.0014
Male	51	0.0054	0.0010	0.0005	0.0014
Male	52	0.0058	0.0011	0.0005	0.0014
Male	53	0.0059	0.0010	0.0005	0.0013
Male	54	0.0060	0.0010	0.0005	0.0012
Male	55	0.0061	0.0010	0.0004	0.0012
Male	56	0.0062	0.0010	0.0004	0.0011
Male	57	0.0062	0.0010	0.0004	0.0011
Male	58	0.0061	0.0010	0.0004	0.0010
Male	59	0.0061	0.0009	0.0004	0.0009
Male	60	0.0060	0.0009	0.0004	0.0009
Male	61	0.0058	0.0009	0.0004	0.0009
Male	62	0.0058	0.0008	0.0004	0.0008
Male	63	0.0055	0.0008	0.0004	0.0007
Male	64	0.0054	0.0007	0.0003	0.0007
Male	65	0.0052	0.0007	0.0003	0.0006
Male	66	0.0050	0.0006	0.0003	0.0006
Male	67	0.0048	0.0006	0.0003	0.0006
Male	68	0.0048	0.0006	0.0003	0.0005
Male	69	0.0047	0.0005	0.0003	0.0005
Male	70	0.0050	0.0005	0.0003	0.0005
Male	71	0.0036	0.0004	0.0002	0.0004
Male	72	0.0035	0.0004	0.0002	0.0004
Male	73	0.0034	0.0004	0.0002	0.0003
Male	74	0.0035	0.0003	0.0002	0.0003
Male	75	0.0030	0.0003	0.0002	0.0003
Male	76	0.0026	0.0003	0.0002	0.0003
Male	77	0.0024	0.0003	0.0001	0.0002
Male	78	0.0023	0.0002	0.0001	0.0002
Male	79	0.0021	0.0002	0.0001	0.0002
Male	80	0.0019	0.0002	0.0001	0.0002
Male	81	0.0018	0.0002	0.0001	0.0002
Male	82	0.0017	0.0002	0.0001	0.0002
Male	83	0.0014	0.0001	0.0001	0.0001
Male	84	0.0013	0.0001	0.0001	0.0001
